2146,,,,,
All IDs for Ezh2,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
3040,ENSG00000206172; ENSG00000188536; ENSG00000206172; ENSG00000188536,3040; 3040; 3040; 3040,OTTHUMG00000060138; OTTHUMG00000059924; OTTHUMG00000060138; OTTHUMG00000059924,HBA1; HBA2; HBA1; HBA2,"hemoglobin, alpha 1"
3040,ENSG00000206172; ENSG00000188536; ENSG00000206172; ENSG00000188536,3040; 3040; 3040; 3040,OTTHUMG00000060138; OTTHUMG00000059924; OTTHUMG00000060138; OTTHUMG00000059924,HBA1; HBA2; HBA1; HBA2,"hemoglobin, alpha 1"
3042,ENSG00000206177,3042,OTTHUMG00000059926,HBM,"hemoglobin, mu"
3049,ENSG00000086506,3049,OTTHUMG00000060727,HBQ1,"hemoglobin, theta 1"
3050,ENSG00000130656,3050,OTTHUMG00000059928,HBZ,"hemoglobin, zeta"
3055,ENSG00000101336,3055,OTTHUMG00000032204,HCK,hemopoietic cell kinase
3060,ENSG00000161610,3060,OTTHUMG00000180107,HCRT,hypocretin (orexin) neuropeptide precursor
3061,ENSG00000121764,3061,OTTHUMG00000003876,HCRTR1,hypocretin (orexin) receptor 1
3062,ENSG00000137252,3062,OTTHUMG00000016150,HCRTR2,hypocretin (orexin) receptor 2
3074,ENSG00000049860,3074,OTTHUMG00000102057,HEXB,hexosaminidase B (beta polypeptide)
3084,ENSG00000157168,3084,OTTHUMG00000163918,NRG1,neuregulin 1
3087,ENSG00000152804,3087,OTTHUMG00000018762,HHEX,hematopoietically expressed homeobox
3090,ENSG00000177374,3090,OTTHUMG00000177635,HIC1,hypermethylated in cancer 1
3092,ENSG00000127946,3092,OTTHUMG00000156050,HIP1,huntingtin interacting protein 1
3096,ENSG00000095951,3096,OTTHUMG00000014265,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1
3097,ENSG00000010818,3097,OTTHUMG00000015713,HIVEP2,human immunodeficiency virus type I enhancer binding protein 2
3110,ENSG00000130675,3110,OTTHUMG00000157181,MNX1,motor neuron and pancreas homeobox 1
3111,ENSG00000204252,3111,OTTHUMG00000031211,HLA-DOA,"major histocompatibility complex, class II, DO alpha"
3113,ENSG00000231389,3113,OTTHUMG00000031058,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
3115,ENSG00000223865,3115,OTTHUMG00000031076,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1"
3131,ENSG00000108924,3131,OTTHUMG00000177840,HLF,hepatic leukemia factor
3135,ENSG00000204632,3135,OTTHUMG00000031157,HLA-G,"major histocompatibility complex, class I, G"
3142,ENSG00000136630,3142,OTTHUMG00000037352,HLX,H2.0-like homeobox
3164,ENSG00000123358,3164,OTTHUMG00000150393,NR4A1,"nuclear receptor subfamily 4, group A, member 1"
3166,ENSG00000215612,3166,OTTHUMG00000160012,HMX1,H6 family homeobox 1
3167,ENSG00000188816,3167,OTTHUMG00000019198,HMX2,H6 family homeobox 2
3169,ENSG00000129514,3169,OTTHUMG00000140253,FOXA1,forkhead box A1
3170,ENSG00000125798,3170,OTTHUMG00000032041,FOXA2,forkhead box A2
3171,ENSG00000170608,3171,OTTHUMG00000182484,FOXA3,forkhead box A3
3174,ENSG00000164749,3174,OTTHUMG00000149920,HNF4G,"hepatocyte nuclear factor 4, gamma"
3175,ENSG00000169856,3175,OTTHUMG00000131899,ONECUT1,one cut homeobox 1
3177,ENSG00000174669,3177,OTTHUMG00000169056,SLC29A2,"solute carrier family 29 (nucleoside transporters), member 2"
3195,ENSG00000107807,3195,OTTHUMG00000019341,TLX1,T-cell leukemia homeobox 1
3196,ENSG00000115297,3196,OTTHUMG00000129960,TLX2,T-cell leukemia homeobox 2
3198,ENSG00000105991,3198,OTTHUMG00000023207,HOXA1,homeobox A1
3199,ENSG00000105996,3199,OTTHUMG00000023208,HOXA2,homeobox A2
3200,ENSG00000105997,3200,OTTHUMG00000023209,HOXA3,homeobox A3
3201,ENSG00000197576,3201,OTTHUMG00000023213,HOXA4,homeobox A4
3202,ENSG00000106004,3202,OTTHUMG00000023214,HOXA5,homeobox A5
3203,ENSG00000106006,3203,OTTHUMG00000023216,HOXA6,homeobox A6
3204,ENSG00000122592,3204,OTTHUMG00000023217,HOXA7,homeobox A7
3206,ENSG00000253293,3206,OTTHUMG00000023436,HOXA10,homeobox A10
3207,ENSG00000005073,3207,OTTHUMG00000023437,HOXA11,homeobox A11
3208,ENSG00000121905,3208,OTTHUMG00000004017,HPCA,hippocalcin
3209,ENSG00000106031,3209,OTTHUMG00000023438,HOXA13,homeobox A13
3211,ENSG00000120094,3211,OTTHUMG00000159929,HOXB1,homeobox B1
3212,ENSG00000173917,3212,OTTHUMG00000159930,HOXB2,homeobox B2
3213,ENSG00000120093,3213,OTTHUMG00000159922,HOXB3,homeobox B3
3214,ENSG00000182742,3214,OTTHUMG00000159920,HOXB4,homeobox B4
3215,ENSG00000120075,3215,OTTHUMG00000159913,HOXB5,homeobox B5
3216,ENSG00000108511,3216,OTTHUMG00000159912,HOXB6,homeobox B6
3217,ENSG00000120087,3217,OTTHUMG00000170231,HOXB7,homeobox B7
3218,ENSG00000120068,3218,OTTHUMG00000159904,HOXB8,homeobox B8
3219,ENSG00000170689,3219,OTTHUMG00000159907,HOXB9,homeobox B9
3221,ENSG00000198353,3221,OTTHUMG00000160036,HOXC4,homeobox C4
3222,ENSG00000172789,3222,OTTHUMG00000160028,HOXC5,homeobox C5
3223,ENSG00000197757,3223,OTTHUMG00000160027,HOXC6,homeobox C6
3224,ENSG00000037965,3224,OTTHUMG00000160032,HOXC8,homeobox C8
3225,ENSG00000180806,3225,OTTHUMG00000160033,HOXC9,homeobox C9
3226,ENSG00000180818,3226,OTTHUMG00000160031,HOXC10,homeobox C10
3227,ENSG00000123388,3227,OTTHUMG00000160011,HOXC11,homeobox C11
3228,ENSG00000123407,3228,OTTHUMG00000160010,HOXC12,homeobox C12
3229,ENSG00000123364,3229,OTTHUMG00000160008,HOXC13,homeobox C13
3231,ENSG00000128645,3231,OTTHUMG00000132512,HOXD1,homeobox D1
3232,ENSG00000128652,3232,OTTHUMG00000132517,HOXD3,homeobox D3
3233,ENSG00000170166,3233,OTTHUMG00000132515,HOXD4,homeobox D4
3234,ENSG00000175879,3234,OTTHUMG00000132513,HOXD8,homeobox D8
3235,ENSG00000128709,3235,OTTHUMG00000132516,HOXD9,homeobox D9
3236,ENSG00000128710,3236,OTTHUMG00000132511,HOXD10,homeobox D10
3237,ENSG00000128713,3237,OTTHUMG00000132510,HOXD11,homeobox D11
3238,ENSG00000170178,3238,OTTHUMG00000150358,HOXD12,homeobox D12
3239,ENSG00000128714,3239,OTTHUMG00000132431,HOXD13,homeobox D13
3241,ENSG00000115756,3241,OTTHUMG00000090451,HPCAL1,hippocalcin-like 1
3248,ENSG00000164120,3248,OTTHUMG00000160772,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD)
3266,ENSG00000187682,3266,OTTHUMG00000059533,ERAS,ES cell expressed Ras
3274,ENSG00000113749,3274,OTTHUMG00000130660,HRH2,histamine receptor H2
3280,ENSG00000114315,3280,OTTHUMG00000155984,HES1,"hairy and enhancer of split 1, (Drosophila)"
3291,ENSG00000176387,3291,OTTHUMG00000137507,HSD11B2,hydroxysteroid (11-beta) dehydrogenase 2
3299,ENSG00000102878,3299,OTTHUMG00000178325,HSF4,heat shock transcription factor 4
3300,ENSG00000135924,3300,OTTHUMG00000133134,DNAJB2,"DnaJ (Hsp40) homolog, subfamily B, member 2"
3315,ENSG00000106211,3315,OTTHUMG00000023228,HSPB1,heat shock 27kDa protein 1
3321,ENSG00000143061,3321,OTTHUMG00000022751,IGSF3,"immunoglobulin superfamily, member 3"
3350,ENSG00000178394,3350,OTTHUMG00000162279,HTR1A,"5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled"
3351,ENSG00000135312,3351,OTTHUMG00000015066,HTR1B,"5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled"
3354,ENSG00000168830,3354,OTTHUMG00000015154,HTR1E,"5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled"
3356,ENSG00000102468,3356,OTTHUMG00000016881,HTR2A,"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled"
3358,ENSG00000147246,3358,OTTHUMG00000022226,HTR2C,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled"
3362,ENSG00000158748,3362,OTTHUMG00000002713,HTR6,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled"
3363,ENSG00000148680,3363,OTTHUMG00000018732,HTR7,"5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled"
3382,ENSG00000003147,3382,OTTHUMG00000152008,ICA1,"islet cell autoantigen 1, 69kDa"
3383,ENSG00000090339,3383,OTTHUMG00000180403,ICAM1,intercellular adhesion molecule 1
3386,ENSG00000105371,3386,OTTHUMG00000180405,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
3394,ENSG00000140968,3394,OTTHUMG00000137648,IRF8,interferon regulatory factor 8
3397,ENSG00000125968,3397,OTTHUMG00000032181,ID1,"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
3398,ENSG00000115738,3398,OTTHUMG00000112454,ID2,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
3399,ENSG00000117318,3399,OTTHUMG00000003229,ID3,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"
3400,ENSG00000172201,3400,OTTHUMG00000014333,ID4,"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"
3480,ENSG00000140443,3480,OTTHUMG00000149851,IGF1R,insulin-like growth factor 1 receptor
3481,ENSG00000167244,3481,OTTHUMG00000009395,IGF2,insulin-like growth factor 2 (somatomedin A)
3484,ENSG00000146678,3484,OTTHUMG00000152343,IGFBP1,insulin-like growth factor binding protein 1
3485,ENSG00000115457,3485,OTTHUMG00000155341,IGFBP2,"insulin-like growth factor binding protein 2, 36kDa"
3486,ENSG00000146674,3486,OTTHUMG00000023769,IGFBP3,insulin-like growth factor binding protein 3
3488,ENSG00000115461,3488,OTTHUMG00000133058,IGFBP5,insulin-like growth factor binding protein 5
3489,ENSG00000167779,3489,OTTHUMG00000169773,IGFBP6,insulin-like growth factor binding protein 6
3490,ENSG00000163453,3490,OTTHUMG00000128772,IGFBP7,insulin-like growth factor binding protein 7
3491,ENSG00000142871,3491,OTTHUMG00000010577,CYR61,"cysteine-rich, angiogenic inducer, 61"
3549,ENSG00000163501,3549,OTTHUMG00000154631,IHH,Indian hedgehog
3570,ENSG00000160712,3570,OTTHUMG00000036073,IL6R,interleukin 6 receptor
3572,ENSG00000134352,3572,OTTHUMG00000097043,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)"
3574,ENSG00000104432,3574,OTTHUMG00000164620,IL7,interleukin 7
3587,ENSG00000110324,3587,OTTHUMG00000166523,IL10RA,"interleukin 10 receptor, alpha"
3589,ENSG00000095752,3589,OTTHUMG00000180789,IL11,interleukin 11
3594,ENSG00000096996,3594,OTTHUMG00000183417,IL12RB1,"interleukin 12 receptor, beta 1"
3595,ENSG00000081985,3595,OTTHUMG00000009094,IL12RB2,"interleukin 12 receptor, beta 2"
3596,ENSG00000169194,3596,OTTHUMG00000059723,IL13,interleukin 13
3600,ENSG00000164136,3600,OTTHUMG00000133418,IL15,interleukin 15
3601,ENSG00000134470,3601,OTTHUMG00000017612,IL15RA,"interleukin 15 receptor, alpha"
3604,ENSG00000049249,3604,OTTHUMG00000001223,TNFRSF9,"tumor necrosis factor receptor superfamily, member 9"
3614,ENSG00000106348,3614,OTTHUMG00000157713,IMPDH1,IMP (inosine 5'-monophosphate) dehydrogenase 1
3623,ENSG00000123999,3623,OTTHUMG00000059237,INHA,"inhibin, alpha"
3625,ENSG00000163083,3625,OTTHUMG00000131437,INHBB,"inhibin, beta B"
3630,ENSG00000254647,3630,OTTHUMG00000009558,INS,insulin
3642,ENSG00000173404,3642,OTTHUMG00000032004,INSM1,insulinoma-associated 1
3643,ENSG00000171105,3643,OTTHUMG00000181992,INSR,insulin receptor
3645,ENSG00000027644,3645,OTTHUMG00000041291,INSRR,insulin receptor-related receptor
3651,ENSG00000139515,3651,OTTHUMG00000016638,PDX1,pancreatic and duodenal homeobox 1
3655,ENSG00000091409,3655,OTTHUMG00000132277,ITGA6,"integrin, alpha 6"
3662,ENSG00000137265,3662,OTTHUMG00000016294,IRF4,interferon regulatory factor 4
3663,ENSG00000128604,3663,OTTHUMG00000158410,IRF5,interferon regulatory factor 5
3667,ENSG00000169047,3667,OTTHUMG00000133179,IRS1,insulin receptor substrate 1
3670,ENSG00000016082,3670,OTTHUMG00000162281,ISL1,ISL LIM homeobox 1
3673,ENSG00000164171,3673,OTTHUMG00000131165,ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
3674,ENSG00000005961,3674,OTTHUMG00000177935,ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"
3675,ENSG00000005884,3675,OTTHUMG00000161890,ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
3676,ENSG00000115232,3676,OTTHUMG00000154212,ITGA4,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
3678,ENSG00000161638,3678,OTTHUMG00000169841,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
3680,ENSG00000144668,3680,OTTHUMG00000130815,ITGA9,"integrin, alpha 9"
3683,ENSG00000005844,3683,OTTHUMG00000176964,ITGAL,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
3689,ENSG00000160255,3689,OTTHUMG00000090257,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
3690,ENSG00000259207,3690,OTTHUMG00000171956,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
3691,ENSG00000132470,3691,OTTHUMG00000179814,ITGB4,"integrin, beta 4"
3692,ENSG00000242372,3692,OTTHUMG00000032328,EIF6,eukaryotic translation initiation factor 6
3706,ENSG00000137825,3706,OTTHUMG00000130343,ITPKA,inositol-trisphosphate 3-kinase A
3707,ENSG00000143772,3707,OTTHUMG00000037582,ITPKB,inositol-trisphosphate 3-kinase B
3708,ENSG00000150995,3708,OTTHUMG00000154996,ITPR1,"inositol 1,4,5-trisphosphate receptor, type 1"
3710,ENSG00000096433,3710,OTTHUMG00000014532,ITPR3,"inositol 1,4,5-trisphosphate receptor, type 3"
3714,ENSG00000184916,3714,OTTHUMG00000140172,JAG2,jagged 2
3720,ENSG00000008083,3720,OTTHUMG00000014293,JARID2,"jumonji, AT rich interactive domain 2"
3725,ENSG00000177606,3725,OTTHUMG00000008376,JUN,jun proto-oncogene
3736,ENSG00000111262,3736,OTTHUMG00000044398,KCNA1,"potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"
3738,ENSG00000177272,3738,OTTHUMG00000034493,KCNA3,"potassium voltage-gated channel, shaker-related subfamily, member 3"
3739,ENSG00000182255,3739,OTTHUMG00000166144,KCNA4,"potassium voltage-gated channel, shaker-related subfamily, member 4"
3741,ENSG00000130037,3741,OTTHUMG00000168232,KCNA5,"potassium voltage-gated channel, shaker-related subfamily, member 5"
3742,ENSG00000151079,3742,OTTHUMG00000168225,KCNA6,"potassium voltage-gated channel, shaker-related subfamily, member 6"
3743,ENSG00000104848,3743,OTTHUMG00000183343,KCNA7,"potassium voltage-gated channel, shaker-related subfamily, member 7"
3745,ENSG00000158445,3745,OTTHUMG00000033051,KCNB1,"potassium voltage-gated channel, Shab-related subfamily, member 1"
3746,ENSG00000129159,3746,OTTHUMG00000166359,KCNC1,"potassium voltage-gated channel, Shaw-related subfamily, member 1"
3747,ENSG00000166006,3747,OTTHUMG00000169717,KCNC2,"potassium voltage-gated channel, Shaw-related subfamily, member 2"
3748,ENSG00000131398,3748,OTTHUMG00000044580,KCNC3,"potassium voltage-gated channel, Shaw-related subfamily, member 3"
3749,ENSG00000116396,3749,OTTHUMG00000011037,KCNC4,"potassium voltage-gated channel, Shaw-related subfamily, member 4"
3751,ENSG00000184408,3751,OTTHUMG00000156989,KCND2,"potassium voltage-gated channel, Shal-related subfamily, member 2"
3752,ENSG00000171385,3752,OTTHUMG00000011989,KCND3,"potassium voltage-gated channel, Shal-related subfamily, member 3"
3754,ENSG00000162975,3754,OTTHUMG00000119054,KCNF1,"potassium voltage-gated channel, subfamily F, member 1"
3755,ENSG00000026559,3755,OTTHUMG00000032745,KCNG1,"potassium voltage-gated channel, subfamily G, member 1"
3756,ENSG00000143473,3756,OTTHUMG00000036309,KCNH1,"potassium voltage-gated channel, subfamily H (eag-related), member 1"
3757,ENSG00000055118,3757,OTTHUMG00000158341,KCNH2,"potassium voltage-gated channel, subfamily H (eag-related), member 2"
3759,ENSG00000123700,3759,OTTHUMG00000180351,KCNJ2,"potassium inwardly-rectifying channel, subfamily J, member 2"
3760,ENSG00000162989,3760,OTTHUMG00000131937,KCNJ3,"potassium inwardly-rectifying channel, subfamily J, member 3"
3761,ENSG00000168135,3761,OTTHUMG00000151131,KCNJ4,"potassium inwardly-rectifying channel, subfamily J, member 4"
3762,ENSG00000120457,3762,OTTHUMG00000165795,KCNJ5,"potassium inwardly-rectifying channel, subfamily J, member 5"
3763,ENSG00000157542,3763,OTTHUMG00000086667,KCNJ6,"potassium inwardly-rectifying channel, subfamily J, member 6"
3764,ENSG00000121361,3764,OTTHUMG00000169093,KCNJ8,"potassium inwardly-rectifying channel, subfamily J, member 8"
3765,ENSG00000162728,3765,OTTHUMG00000024072,KCNJ9,"potassium inwardly-rectifying channel, subfamily J, member 9"
3766,ENSG00000177807,3766,OTTHUMG00000024073,KCNJ10,"potassium inwardly-rectifying channel, subfamily J, member 10"
3777,ENSG00000171303,3777,OTTHUMG00000125530,KCNK3,"potassium channel, subfamily K, member 3"
3778,ENSG00000156113,3778,OTTHUMG00000018543,KCNMA1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
3781,ENSG00000080709,3781,OTTHUMG00000128836,KCNN2,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2"
3782,ENSG00000143603,3782,OTTHUMG00000037260,KCNN3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
3784,ENSG00000053918,3784,OTTHUMG00000009900,KCNQ1,"potassium voltage-gated channel, KQT-like subfamily, member 1"
3785,ENSG00000075043,3785,OTTHUMG00000033049,KCNQ2,"potassium voltage-gated channel, KQT-like subfamily, member 2"
3786,ENSG00000184156,3786,OTTHUMG00000137472,KCNQ3,"potassium voltage-gated channel, KQT-like subfamily, member 3"
3787,ENSG00000124134,3787,OTTHUMG00000033079,KCNS1,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1"
3788,ENSG00000156486,3788,OTTHUMG00000044337,KCNS2,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2"
3790,ENSG00000170745,3790,OTTHUMG00000044150,KCNS3,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3"
3791,ENSG00000128052,3791,OTTHUMG00000128734,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase)
3798,ENSG00000155980,3798,OTTHUMG00000170143,KIF5A,kinesin family member 5A
3800,ENSG00000168280,3800,OTTHUMG00000153779,KIF5C,kinesin family member 5C
3815,ENSG00000157404,3815,OTTHUMG00000128713,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
3837,ENSG00000108424,3837,OTTHUMG00000036957,KPNB1,karyopherin (importin) beta 1
3842,ENSG00000083312,3842,OTTHUMG00000100967,TNPO1,transportin 1
3845,ENSG00000133703,3845,OTTHUMG00000171193,KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
3880,ENSG00000171345,3880,OTTHUMG00000133422,KRT19,keratin 19
3889,ENSG00000170523,3889,OTTHUMG00000169632,KRT83,keratin 83
3892,ENSG00000170442; ENSG00000170442,3892; 3892,;,KRT86; KRT86,keratin 86
3892,ENSG00000170442; ENSG00000170442,3892; 3892,;,KRT86; KRT86,keratin 86
3898,ENSG00000159166,3898,OTTHUMG00000035737,LAD1,ladinin 1
3899,ENSG00000144218,3899,OTTHUMG00000153011,AFF3,"AF4/FMR2 family, member 3"
3908,ENSG00000196569,3908,OTTHUMG00000015545,LAMA2,"laminin, alpha 2"
3909,ENSG00000053747,3909,OTTHUMG00000131874,LAMA3,"laminin, alpha 3"
3911,ENSG00000130702,3911,OTTHUMG00000032908,LAMA5,"laminin, alpha 5"
3912,ENSG00000091136,3912,OTTHUMG00000149966,LAMB1,"laminin, beta 1"
3915,ENSG00000135862,3915,OTTHUMG00000035418,LAMC1,"laminin, gamma 1 (formerly LAMB2)"
3916,ENSG00000185896,3916,OTTHUMG00000017380,LAMP1,lysosomal-associated membrane protein 1
3936,ENSG00000136167,3936,OTTHUMG00000016864,LCP1,lymphocyte cytosolic protein 1 (L-plastin)
3952,ENSG00000174697,3952,OTTHUMG00000157564,LEP,leptin
3954,ENSG00000168924,3954,OTTHUMG00000121149,LETM1,leucine zipper-EF-hand containing transmembrane protein 1
3973,ENSG00000138039,3973,OTTHUMG00000129257,LHCGR,luteinizing hormone/choriogonadotropin receptor
3975,ENSG00000132130,3975,OTTHUMG00000133068,LHX1,LIM homeobox 1
3993,ENSG00000073350,3993,OTTHUMG00000179685,LLGL2,lethal giant larvae homolog 2 (Drosophila)
4000,ENSG00000160789,4000,OTTHUMG00000013961,LMNA,lamin A/C
4004,ENSG00000166407,4004,OTTHUMG00000165833,LMO1,LIM domain only 1 (rhombotin 1)
4009,ENSG00000162761,4009,OTTHUMG00000034575,LMX1A,"LIM homeobox transcription factor 1, alpha"
4010,ENSG00000136944,4010,OTTHUMG00000020692,LMX1B,"LIM homeobox transcription factor 1, beta"
4014,ENSG00000203782,4014,OTTHUMG00000013938,LOR,loricrin
4015,ENSG00000113083,4015,OTTHUMG00000128914,LOX,lysyl oxidase
4016,ENSG00000129038,4016,OTTHUMG00000137595,LOXL1,lysyl oxidase-like 1
4035,ENSG00000123384,4035,OTTHUMG00000044412,LRP1,low density lipoprotein receptor-related protein 1
4036,ENSG00000081479,4036,OTTHUMG00000132179,LRP2,low density lipoprotein receptor-related protein 2
4038,ENSG00000134569,4038,OTTHUMG00000166700,LRP4,low density lipoprotein receptor-related protein 4
4040,ENSG00000070018,4040,OTTHUMG00000168540,LRP6,low density lipoprotein receptor-related protein 6
4041,ENSG00000162337,4041,OTTHUMG00000167570,LRP5,low density lipoprotein receptor-related protein 5
4045,ENSG00000185565,4045,OTTHUMG00000159308,LSAMP,limbic system-associated membrane protein
4050,ENSG00000227507,4050,OTTHUMG00000031136,LTB,"lymphotoxin beta (TNF superfamily, member 3)"
4052,ENSG00000049323,4052,OTTHUMG00000152118,LTBP1,latent transforming growth factor beta binding protein 1
4053,ENSG00000119681,4053,OTTHUMG00000171476,LTBP2,latent transforming growth factor beta binding protein 2
4054,ENSG00000168056,4054,OTTHUMG00000166575,LTBP3,latent transforming growth factor beta binding protein 3
4058,ENSG00000062524,4058,OTTHUMG00000130339,LTK,leukocyte receptor tyrosine kinase
4061,ENSG00000160932,4061,OTTHUMG00000164754,LY6E,"lymphocyte antigen 6 complex, locus E"
4062,ENSG00000176956,4062,OTTHUMG00000154890,LY6H,"lymphocyte antigen 6 complex, locus H"
4063,ENSG00000122224,4063,OTTHUMG00000024007,LY9,lymphocyte antigen 9
4066,ENSG00000104903,4066,OTTHUMG00000180736,LYL1,lymphoblastic leukemia derived sequence 1
4067,ENSG00000254087,4067,OTTHUMG00000044345,LYN,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
4070,ENSG00000184292,4070,OTTHUMG00000010067,TACSTD2,tumor-associated calcium signal transducer 2
4081,ENSG00000180660,4081,OTTHUMG00000016723,MAB21L1,mab-21-like 1 (C. elegans)
4086,ENSG00000170365,4086,OTTHUMG00000161592,SMAD1,SMAD family member 1
4088,ENSG00000166949,4088,OTTHUMG00000133230,SMAD3,SMAD family member 3
4091,ENSG00000137834,4091,OTTHUMG00000133218,SMAD6,SMAD family member 6
4092,ENSG00000101665,4092,OTTHUMG00000132655,SMAD7,SMAD family member 7
4093,ENSG00000120693,4093,OTTHUMG00000016740,SMAD9,SMAD family member 9
4094,ENSG00000178573,4094,OTTHUMG00000137621,MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
4099,ENSG00000105695,4099,OTTHUMG00000183296,MAG,myelin associated glycoprotein
4117,ENSG00000111837,4117,OTTHUMG00000014247,MAK,male germ cell-associated kinase
4118,ENSG00000172005,4118,OTTHUMG00000132011,MAL,"mal, T-cell differentiation protein"
4121,ENSG00000111885,4121,OTTHUMG00000015472,MAN1A1,"mannosidase, alpha, class 1A, member 1"
4122,ENSG00000196547,4122,OTTHUMG00000172385,MAN2A2,"mannosidase, alpha, class 2A, member 2"
4124,ENSG00000112893,4124,OTTHUMG00000162834,MAN2A1,"mannosidase, alpha, class 2A, member 1"
4131,ENSG00000131711,4131,OTTHUMG00000100952,MAP1B,microtubule-associated protein 1B
4135,ENSG00000171533,4135,OTTHUMG00000165343,MAP6,microtubule-associated protein 6
4137,ENSG00000186868,4137,OTTHUMG00000168833,MAPT,microtubule-associated protein tau
4139,ENSG00000116141,4139,OTTHUMG00000037351,MARK1,MAP/microtubule affinity-regulating kinase 1
4141,ENSG00000166986,4141,OTTHUMG00000169996,MARS,methionyl-tRNA synthetase
4145,ENSG00000007264,4145,OTTHUMG00000180916,MATK,megakaryocyte-associated tyrosine kinase
4155,ENSG00000197971,4155,OTTHUMG00000132874,MBP,myelin basic protein
4161,ENSG00000176136,4161,OTTHUMG00000131720,MC5R,melanocortin 5 receptor
4162,ENSG00000076706,4162,OTTHUMG00000166197,MCAM,melanoma cell adhesion molecule
4163,ENSG00000171444,4163,OTTHUMG00000128804,MCC,mutated in colorectal cancers
4185,ENSG00000073670,4185,OTTHUMG00000179038,ADAM11,ADAM metallopeptidase domain 11
4188,ENSG00000112559,4188,OTTHUMG00000014681,MDFI,MyoD family inhibitor
4192,ENSG00000110492,4192,OTTHUMG00000150315,MDK,midkine (neurite growth-promoting factor 2)
4211,ENSG00000143995,4211,OTTHUMG00000150714,MEIS1,Meis homeobox 1
4212,ENSG00000134138,4212,OTTHUMG00000129781,MEIS2,Meis homeobox 2
4214,ENSG00000095015,4214,OTTHUMG00000059486,MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"
4216,ENSG00000085511,4216,OTTHUMG00000015968,MAP3K4,mitogen-activated protein kinase kinase kinase 4
4217,ENSG00000197442,4217,OTTHUMG00000015647,MAP3K5,mitogen-activated protein kinase kinase kinase 5
4223,ENSG00000106511,4223,OTTHUMG00000152390,MEOX2,mesenchyme homeobox 2
4248,ENSG00000128268,4248,OTTHUMG00000030185,MGAT3,"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"
4249,ENSG00000152127,4249,OTTHUMG00000131681,MGAT5,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
4254,ENSG00000049130,4254,OTTHUMG00000169888,KITLG,KIT ligand
4261,ENSG00000179583,4261,OTTHUMG00000129753,CIITA,"class II, major histocompatibility complex, transactivator"
4293,ENSG00000006432,4293,OTTHUMG00000171249,MAP3K9,mitogen-activated protein kinase kinase kinase 9
4300,ENSG00000171843,4300,OTTHUMG00000019650,MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3"
