2353,,,,,
All IDs for CfosEtoh01,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
8968,ENSG00000256018; ENSG00000124693; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018; ENSG00000256018; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000124693; ENSG00000198366; ENSG00000198366; ENSG00000197409; ENSG00000197409; ENSG00000197409; ENSG00000256018; ENSG00000256018,8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968; 8968,OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014436; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014415; OTTHUMG00000014418; OTTHUMG00000014418; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014433; OTTHUMG00000014436; OTTHUMG00000014436,HIST1H3G; HIST1H3B; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G; HIST1H3G; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3B; HIST1H3A; HIST1H3A; HIST1H3D; HIST1H3D; HIST1H3D; HIST1H3G; HIST1H3G,"histone cluster 1, H3g"
