23512,,,,,
All IDs for Suz12,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
3725,ENSG00000177606,3725,OTTHUMG00000008376,JUN,jun proto-oncogene
3736,ENSG00000111262,3736,OTTHUMG00000044398,KCNA1,"potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"
3741,ENSG00000130037,3741,OTTHUMG00000168232,KCNA5,"potassium voltage-gated channel, shaker-related subfamily, member 5"
3752,ENSG00000171385,3752,OTTHUMG00000011989,KCND3,"potassium voltage-gated channel, Shal-related subfamily, member 3"
3756,ENSG00000143473,3756,OTTHUMG00000036309,KCNH1,"potassium voltage-gated channel, subfamily H (eag-related), member 1"
3762,ENSG00000120457,3762,OTTHUMG00000165795,KCNJ5,"potassium inwardly-rectifying channel, subfamily J, member 5"
3775,ENSG00000135750,3775,OTTHUMG00000037923,KCNK1,"potassium channel, subfamily K, member 1"
3782,ENSG00000143603,3782,OTTHUMG00000037260,KCNN3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
3784,ENSG00000053918,3784,OTTHUMG00000009900,KCNQ1,"potassium voltage-gated channel, KQT-like subfamily, member 1"
3814,ENSG00000170498,3814,OTTHUMG00000036060,KISS1,KiSS-1 metastasis-suppressor
3891,ENSG00000135443,3891,OTTHUMG00000169633,KRT85,keratin 85
3898,ENSG00000159166,3898,OTTHUMG00000035737,LAD1,ladinin 1
3912,ENSG00000091136,3912,OTTHUMG00000149966,LAMB1,"laminin, beta 1"
3954,ENSG00000168924,3954,OTTHUMG00000121149,LETM1,leucine zipper-EF-hand containing transmembrane protein 1
3959,ENSG00000108679,3959,OTTHUMG00000177572,LGALS3BP,"lectin, galactoside-binding, soluble, 3 binding protein"
3975,ENSG00000132130,3975,OTTHUMG00000133068,LHX1,LIM homeobox 1
4004,ENSG00000166407,4004,OTTHUMG00000165833,LMO1,LIM domain only 1 (rhombotin 1)
4009,ENSG00000162761,4009,OTTHUMG00000034575,LMX1A,"LIM homeobox transcription factor 1, alpha"
4010,ENSG00000136944,4010,OTTHUMG00000020692,LMX1B,"LIM homeobox transcription factor 1, beta"
4014,ENSG00000203782,4014,OTTHUMG00000013938,LOR,loricrin
4036,ENSG00000081479,4036,OTTHUMG00000132179,LRP2,low density lipoprotein receptor-related protein 2
4058,ENSG00000062524,4058,OTTHUMG00000130339,LTK,leukocyte receptor tyrosine kinase
4066,ENSG00000104903,4066,OTTHUMG00000180736,LYL1,lymphoblastic leukemia derived sequence 1
4081,ENSG00000180660,4081,OTTHUMG00000016723,MAB21L1,mab-21-like 1 (C. elegans)
4118,ENSG00000172005,4118,OTTHUMG00000132011,MAL,"mal, T-cell differentiation protein"
4137,ENSG00000186868,4137,OTTHUMG00000168833,MAPT,microtubule-associated protein tau
4141,ENSG00000166986,4141,OTTHUMG00000169996,MARS,methionyl-tRNA synthetase
4145,ENSG00000007264,4145,OTTHUMG00000180916,MATK,megakaryocyte-associated tyrosine kinase
4151,ENSG00000198125,4151,OTTHUMG00000150606,MB,myoglobin
4155,ENSG00000197971,4155,OTTHUMG00000132874,MBP,myelin basic protein
4157,ENSG00000258839,4157,OTTHUMG00000171163,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
4211,ENSG00000143995,4211,OTTHUMG00000150714,MEIS1,Meis homeobox 1
4212,ENSG00000134138,4212,OTTHUMG00000129781,MEIS2,Meis homeobox 2
4223,ENSG00000106511,4223,OTTHUMG00000152390,MEOX2,mesenchyme homeobox 2
4300,ENSG00000171843,4300,OTTHUMG00000019650,MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3"
4302,ENSG00000108292,4302,OTTHUMG00000133122,MLLT6,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6"
4330,ENSG00000169184,4330,OTTHUMG00000150975,MN1,meningioma (disrupted in balanced translocation) 1
4342,ENSG00000172680,4342,OTTHUMG00000164299,MOS,v-mos Moloney murine sarcoma viral oncogene homolog
4435,ENSG00000125931,4435,OTTHUMG00000021812,CITED1,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1"
4487,ENSG00000163132,4487,OTTHUMG00000090335,MSX1,msh homeobox 1
4488,ENSG00000120149,4488,OTTHUMG00000130556,MSX2,msh homeobox 2
4489,ENSG00000205362,4489,OTTHUMG00000176919,MT1A,metallothionein 1A
4493,ENSG00000169715,4493,OTTHUMG00000133014,MT1E,metallothionein 1E
4495,ENSG00000125144,4495,OTTHUMG00000133275,MT1G,metallothionein 1G
4496,ENSG00000205358,4496,OTTHUMG00000133283,MT1H,metallothionein 1H
4499,ENSG00000205364,4499,OTTHUMG00000176938,MT1M,metallothionein 1M
4504,ENSG00000087250,4504,OTTHUMG00000133282,MT3,metallothionein 3
4588,ENSG00000184956,4588,OTTHUMG00000165140,MUC6,"mucin 6, oligomeric mucus/gel-forming"
4601,ENSG00000119950,4601,OTTHUMG00000019033,MXI1,MAX interactor 1
4607,ENSG00000134571,4607,OTTHUMG00000166986,MYBPC3,"myosin binding protein C, cardiac"
4629,ENSG00000133392,4629,OTTHUMG00000129935,MYH11,"myosin, heavy chain 11, smooth muscle"
4634,ENSG00000160808,4634,OTTHUMG00000133516,MYL3,"myosin, light chain 3, alkali; ventricular, skeletal, slow"
4661,ENSG00000196132,4661,OTTHUMG00000149988,MYT1,myelin transcription factor 1
4685,ENSG00000154654,4685,OTTHUMG00000078121,NCAM2,neural cell adhesion molecule 2
4745,ENSG00000165973,4745,OTTHUMG00000166042,NELL1,NEL-like 1 (chicken)
4759,ENSG00000115488,4759,OTTHUMG00000133274,NEU2,sialidase 2 (cytosolic sialidase)
4760,ENSG00000162992,4760,OTTHUMG00000132583,NEUROD1,neuronal differentiation 1
4761,ENSG00000171532,4761,OTTHUMG00000133211,NEUROD2,neuronal differentiation 2
4762,ENSG00000181965,4762,OTTHUMG00000129138,NEUROG1,neurogenin 1
4772,ENSG00000131196,4772,OTTHUMG00000132897,NFATC1,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1"
4782,ENSG00000141905,4782,OTTHUMG00000180731,NFIC,nuclear factor I/C (CCAAT-binding transcription factor)
4784,ENSG00000008441,4784,OTTHUMG00000180726,NFIX,nuclear factor I/X (CCAAT-binding transcription factor)
4804,ENSG00000064300,4804,OTTHUMG00000161495,NGFR,nerve growth factor receptor
4821,ENSG00000125820,4821,OTTHUMG00000170524,NKX2-2,NK2 homeobox 2
4824,ENSG00000167034,4824,OTTHUMG00000097851,NKX3-1,NK3 homeobox 1
4825,ENSG00000163623,4825,OTTHUMG00000130426,NKX6-1,NK6 homeobox 1
4852,ENSG00000122585,4852,OTTHUMG00000022973,NPY,neuropeptide Y
4862,ENSG00000170485,4862,OTTHUMG00000130675,NPAS2,neuronal PAS domain protein 2
4881,ENSG00000169418,4881,OTTHUMG00000037085,NPR1,natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)
4884,ENSG00000171246,4884,OTTHUMG00000177607,NPTX1,neuronal pentraxin I
4886,ENSG00000164128,4886,OTTHUMG00000161371,NPY1R,neuropeptide Y receptor Y1
4889,ENSG00000164129,4889,OTTHUMG00000161353,NPY5R,neuropeptide Y receptor Y5
4900,ENSG00000154146,4900,OTTHUMG00000165928,NRGN,"neurogranin (protein kinase C substrate, RC3)"
4907,ENSG00000135318,4907,OTTHUMG00000015139,NT5E,"5'-nucleotidase, ecto (CD73)"
4908,ENSG00000185652,4908,OTTHUMG00000168649,NTF3,neurotrophin 3
4915,ENSG00000148053,4915,OTTHUMG00000020120,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2"
4923,ENSG00000101188,4923,OTTHUMG00000032932,NTSR1,neurotensin receptor 1 (high affinity)
4940,ENSG00000111331,4940,OTTHUMG00000169795,OAS3,"2'-5'-oligoadenylate synthetase 3, 100kDa"
4948,ENSG00000104044,4948,OTTHUMG00000128871,OCA2,oculocutaneous albinism II
4985,ENSG00000116329,4985,OTTHUMG00000003646,OPRD1,"opioid receptor, delta 1"
4990,ENSG00000184302,4990,OTTHUMG00000152339,SIX6,SIX homeobox 6
5013,ENSG00000115507,5013,OTTHUMG00000129454,OTX1,orthodenticle homeobox 1
5015,ENSG00000165588,5015,OTTHUMG00000152338,OTX2,orthodenticle homeobox 2
5017,ENSG00000172818,5017,OTTHUMG00000166600,OVOL1,ovo-like 1(Drosophila)
5021,ENSG00000180914,5021,OTTHUMG00000090537,OXTR,oxytocin receptor
5026,ENSG00000083454,5026,OTTHUMG00000090700,P2RX5,"purinergic receptor P2X, ligand-gated ion channel, 5"
5053,ENSG00000171759,5053,OTTHUMG00000169966,PAH,phenylalanine hydroxylase
5075,ENSG00000125813,5075,OTTHUMG00000032034,PAX1,paired box 1
5076,ENSG00000075891,5076,OTTHUMG00000018913,PAX2,paired box 2
5077,ENSG00000135903,5077,OTTHUMG00000133157,PAX3,paired box 3
5078,ENSG00000106331,5078,OTTHUMG00000157562,PAX4,paired box 4
5079,ENSG00000196092,5079,OTTHUMG00000019907,PAX5,paired box 5
5080,ENSG00000007372,5080,OTTHUMG00000041447,PAX6,paired box 6
5081,ENSG00000009709,5081,OTTHUMG00000002433,PAX7,paired box 7
5083,ENSG00000198807,5083,OTTHUMG00000140251,PAX9,paired box 9
5099,ENSG00000169851,5099,OTTHUMG00000160364,PCDH7,protocadherin 7
5100,ENSG00000136099,5100,OTTHUMG00000016979,PCDH8,protocadherin 8
5126,ENSG00000125851,5126,OTTHUMG00000031941,PCSK2,proprotein convertase subtilisin/kexin type 2
5142,ENSG00000184588,5142,OTTHUMG00000009088,PDE4B,"phosphodiesterase 4B, cAMP-specific"
5151,ENSG00000073417,5151,OTTHUMG00000148670,PDE8A,phosphodiesterase 8A
5153,ENSG00000123360,5153,OTTHUMG00000169844,PDE1B,"phosphodiesterase 1B, calmodulin-dependent"
5155,ENSG00000100311,5155,OTTHUMG00000151029,PDGFB,platelet-derived growth factor beta polypeptide
5156,ENSG00000134853,5156,OTTHUMG00000128699,PDGFRA,"platelet-derived growth factor receptor, alpha polypeptide"
5158,ENSG00000133256,5158,OTTHUMG00000159909,PDE6B,"phosphodiesterase 6B, cGMP-specific, rod, beta"
5172,ENSG00000091137,5172,OTTHUMG00000154807,SLC26A4,"solute carrier family 26, member 4"
5179,ENSG00000181195,5179,OTTHUMG00000164409,PENK,proenkephalin
5205,ENSG00000081923,5205,OTTHUMG00000180255,ATP8B1,"ATPase, aminophospholipid transporter, class I, type 8B, member 1"
5241,ENSG00000082175,5241,OTTHUMG00000167531,PGR,progesterone receptor
5307,ENSG00000069011,5307,OTTHUMG00000149983,PITX1,paired-like homeodomain 1
5308,ENSG00000164093,5308,OTTHUMG00000132837,PITX2,paired-like homeodomain 2
5334,ENSG00000115896,5334,OTTHUMG00000132750,PLCL1,phospholipase C-like 1
5362,ENSG00000076356,5362,OTTHUMG00000036564,PLXNA2,plexin A2
5396,ENSG00000116132,5396,OTTHUMG00000035231,PRRX1,paired related homeobox 1
5454,ENSG00000184486,5454,OTTHUMG00000015258,POU3F2,POU class 3 homeobox 2
5455,ENSG00000198914,5455,OTTHUMG00000153067,POU3F3,POU class 3 homeobox 3
5457,ENSG00000152192,5457,OTTHUMG00000017119,POU4F1,POU class 4 homeobox 1
5458,ENSG00000151615,5458,OTTHUMG00000162045,POU4F2,POU class 4 homeobox 2
5459,ENSG00000091010,5459,OTTHUMG00000129684,POU4F3,POU class 4 homeobox 3
5538,ENSG00000131238,5538,OTTHUMG00000004495,PPT1,palmitoyl-protein thioesterase 1
5593,ENSG00000138669,5593,OTTHUMG00000130296,PRKG2,"protein kinase, cGMP-dependent, type II"
5596,ENSG00000141639,5596,OTTHUMG00000179853,MAPK4,mitogen-activated protein kinase 4
5629,ENSG00000117707,5629,OTTHUMG00000036946,PROX1,prospero homeobox 1
5630,ENSG00000135406,5630,OTTHUMG00000167140,PRPH,peripherin
5729,ENSG00000168229,5729,OTTHUMG00000140299,PTGDR,prostaglandin D2 receptor (DP)
5732,ENSG00000125384,5732,OTTHUMG00000140300,PTGER2,"prostaglandin E receptor 2 (subtype EP2), 53kDa"
5733,ENSG00000050628,5733,OTTHUMG00000009399,PTGER3,prostaglandin E receptor 3 (subtype EP3)
5734,ENSG00000171522,5734,OTTHUMG00000094769,PTGER4,prostaglandin E receptor 4 (subtype EP4)
5743,ENSG00000073756,5743,OTTHUMG00000035473,PTGS2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
5744,ENSG00000087494,5744,OTTHUMG00000169221,PTHLH,parathyroid hormone-like hormone
5774,ENSG00000070159,5774,OTTHUMG00000020475,PTPN3,"protein tyrosine phosphatase, non-receptor type 3"
5799,ENSG00000155093,5799,OTTHUMG00000152646,PTPRN2,"protein tyrosine phosphatase, receptor type, N polypeptide 2"
5827,ENSG00000176894,5827,OTTHUMG00000168019,PXMP2,"peroxisomal membrane protein 2, 22kDa"
5923,ENSG00000058335,5923,OTTHUMG00000144172,RASGRF1,Ras protein-specific guanine nucleotide-releasing factor 1
5950,ENSG00000138207,5950,OTTHUMG00000018773,RBP4,"retinol binding protein 4, plasma"
5970,ENSG00000173039,5970,OTTHUMG00000166566,RELA,v-rel reticuloendotheliosis viral oncogene homolog A (avian)
5992,ENSG00000111783,5992,OTTHUMG00000169173,RFX4,"regulatory factor X, 4 (influences HLA class II expression)"
6001,ENSG00000148908,6001,OTTHUMG00000019150,RGS10,regulator of G-protein signaling 10
6096,ENSG00000198963,6096,OTTHUMG00000020026,RORB,RAR-related orphan receptor B
6236,ENSG00000166592,6236,OTTHUMG00000137511,RRAD,Ras-related associated with diabetes
6262,ENSG00000198626,6262,OTTHUMG00000039543,RYR2,ryanodine receptor 2 (cardiac)
6263,ENSG00000198838,6263,OTTHUMG00000172253,RYR3,ryanodine receptor 3
6302,ENSG00000135452,6302,OTTHUMG00000170381,TSPAN31,tetraspanin 31
6304,ENSG00000182568,6304,OTTHUMG00000129890,SATB1,SATB homeobox 1
6331,ENSG00000183873,6331,OTTHUMG00000156166,SCN5A,"sodium channel, voltage-gated, type V, alpha subunit"
6342,ENSG00000116171,6342,OTTHUMG00000008936,SCP2,sterol carrier protein 2
6344,ENSG00000080293,6344,OTTHUMG00000131407,SCTR,secretin receptor
6398,ENSG00000141574,6398,OTTHUMG00000178668,SECTM1,secreted and transmembrane 1
6422,ENSG00000104332,6422,OTTHUMG00000164074,SFRP1,secreted frizzled-related protein 1
6425,ENSG00000120057,6425,OTTHUMG00000018866,SFRP5,secreted frizzled-related protein 5
6440,ENSG00000168484,6440,OTTHUMG00000163775,SFTPC,surfactant protein C
6456,ENSG00000107295,6456,OTTHUMG00000019601,SH3GL2,SH3-domain GRB2-like 2
6469,ENSG00000164690,6469,OTTHUMG00000151349,SHH,sonic hedgehog
6473,ENSG00000185960,6473,OTTHUMG00000021053,SHOX,short stature homeobox
6474,ENSG00000168779; ENSG00000258518; ENSG00000168779; ENSG00000258518,6474; 6474; 6474; 6474,OTTHUMG00000158755; ; OTTHUMG00000158755;,SHOX2; SHOX2; SHOX2; SHOX2,short stature homeobox 2
6474,ENSG00000168779; ENSG00000258518; ENSG00000168779; ENSG00000258518,6474; 6474; 6474; 6474,OTTHUMG00000158755; ; OTTHUMG00000158755;,SHOX2; SHOX2; SHOX2; SHOX2,short stature homeobox 2
6474,ENSG00000168779; ENSG00000258518; ENSG00000168779; ENSG00000258518,6474; 6474; 6474; 6474,OTTHUMG00000158755; ; OTTHUMG00000158755;,SHOX2; SHOX2; SHOX2; SHOX2,short stature homeobox 2
6474,ENSG00000168779; ENSG00000258518; ENSG00000168779; ENSG00000258518,6474; 6474; 6474; 6474,OTTHUMG00000158755; ; OTTHUMG00000158755;,SHOX2; SHOX2; SHOX2; SHOX2,short stature homeobox 2
6482,ENSG00000008513,6482,OTTHUMG00000164534,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
6492,ENSG00000112246,6492,OTTHUMG00000015275,SIM1,single-minded homolog 1 (Drosophila)
6493,ENSG00000159263,6493,OTTHUMG00000086637,SIM2,single-minded homolog 2 (Drosophila)
6495,ENSG00000126778,6495,OTTHUMG00000140334,SIX1,SIX homeobox 1
6496,ENSG00000138083,6496,OTTHUMG00000152424,SIX3,SIX homeobox 3
6529,ENSG00000157103,6529,OTTHUMG00000044208,SLC6A1,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1"
6531,ENSG00000142319,6531,OTTHUMG00000131016,SLC6A3,"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3"
6532,ENSG00000108576,6532,OTTHUMG00000132751,SLC6A4,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4"
6547,ENSG00000100678,6547,OTTHUMG00000152342,SLC8A3,"solute carrier family 8 (sodium/calcium exchanger), member 3"
6550,ENSG00000066230,6550,OTTHUMG00000090315,SLC9A3,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3"
6564,ENSG00000088386,6564,OTTHUMG00000017255,SLC15A1,"solute carrier family 15 (oligopeptide transporter), member 1"
6572,ENSG00000187714,6572,OTTHUMG00000018196,SLC18A3,"solute carrier family 18 (vesicular acetylcholine), member 3"
6581,ENSG00000146477,6581,OTTHUMG00000015953,SLC22A3,"solute carrier family 22 (extraneuronal monoamine transporter), member 3"
6585,ENSG00000187122,6585,OTTHUMG00000018843,SLIT1,slit homolog 1 (Drosophila)
6595,ENSG00000080503,6595,OTTHUMG00000019445,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
6604,ENSG00000082014,6604,OTTHUMG00000157431,SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
6615,ENSG00000124216,6615,OTTHUMG00000033048,SNAI1,snail homolog 1 (Drosophila)
6656,ENSG00000182968,6656,OTTHUMG00000017362,SOX1,SRY (sex determining region Y)-box 1
6662,ENSG00000125398,6662,OTTHUMG00000166300,SOX9,SRY (sex determining region Y)-box 9
6672,ENSG00000067066,6672,OTTHUMG00000133203,SP100,SP100 nuclear antigen
6730,ENSG00000167881,6730,OTTHUMG00000180054,SRP68,signal recognition particle 68kDa
6752,ENSG00000180616,6752,OTTHUMG00000178343,SSTR2,somatostatin receptor 2
6754,ENSG00000132671,6754,OTTHUMG00000032054,SSTR4,somatostatin receptor 4
6788,ENSG00000104375,6788,OTTHUMG00000164651,STK3,serine/threonine kinase 3
6813,ENSG00000076944,6813,OTTHUMG00000182396,STXBP2,syntaxin binding protein 2
6833,ENSG00000006071,6833,OTTHUMG00000166316,ABCC8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
6850,ENSG00000165025,6850,OTTHUMG00000020200,SYK,spleen tyrosine kinase
6862,ENSG00000164458,6862,OTTHUMG00000015991,T,"T, brachyury homolog (mouse)"
6863,ENSG00000006128,6863,OTTHUMG00000154069,TAC1,"tachykinin, precursor 1"
6886,ENSG00000162367,6886,OTTHUMG00000007847,TAL1,T-cell acute lymphocytic leukemia 1
6899,ENSG00000184058,6899,OTTHUMG00000150421,TBX1,T-box 1
6900,ENSG00000184144,6900,OTTHUMG00000037105,CNTN2,contactin 2 (axonal)
6909,ENSG00000121068,6909,OTTHUMG00000156986,TBX2,T-box 2
6910,ENSG00000089225,6910,OTTHUMG00000166191,TBX5,T-box 5
6913,ENSG00000092607,6913,OTTHUMG00000012263,TBX15,T-box 15
6915,ENSG00000006638,6915,OTTHUMG00000180806,TBXA2R,thromboxane A2 receptor
6919,ENSG00000171703,6919,OTTHUMG00000033026,TCEA2,"transcription elongation factor A (SII), 2"
6926,ENSG00000135111,6926,OTTHUMG00000169586,TBX3,T-box 3
6928,ENSG00000108753,6928,OTTHUMG00000133123,HNF1B,HNF1 homeobox B
6943,ENSG00000118526,6943,OTTHUMG00000015608,TCF21,transcription factor 21
7020,ENSG00000137203,7020,OTTHUMG00000014235,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
7021,ENSG00000008196,7021,OTTHUMG00000014836,TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta)
7025,ENSG00000175745,7025,OTTHUMG00000119079,NR2F1,"nuclear receptor subfamily 2, group F, member 1"
7026,ENSG00000185551,7026,OTTHUMG00000149848,NR2F2,"nuclear receptor subfamily 2, group F, member 2"
7042,ENSG00000092969,7042,OTTHUMG00000039521,TGFB2,"transforming growth factor, beta 2"
7056,ENSG00000178726,7056,OTTHUMG00000032053,THBD,thrombomodulin
7062,ENSG00000159450,7062,OTTHUMG00000013066,TCHH,trichohyalin
7080,ENSG00000136352,7080,OTTHUMG00000140225,NKX2-1,NK2 homeobox 1
7092,ENSG00000038295,7092,OTTHUMG00000161112,TLL1,tolloid-like 1
7101,ENSG00000112333,7101,OTTHUMG00000015319,NR2E1,"nuclear receptor subfamily 2, group E, member 1"
7103,ENSG00000127324,7103,OTTHUMG00000169542,TSPAN8,tetraspanin 8
7111,ENSG00000136842,7111,OTTHUMG00000020325,TMOD1,tropomodulin 1
7122,ENSG00000184113,7122,OTTHUMG00000150441,CLDN5,claudin 5
7161,ENSG00000078900,7161,OTTHUMG00000000610,TP73,tumor protein p73
7166,ENSG00000129167,7166,OTTHUMG00000166421,TPH1,tryptophan hydroxylase 1
7177,ENSG00000172236,7177,OTTHUMG00000090467,TPSAB1,tryptase alpha/beta 1
7200,ENSG00000170893,7200,OTTHUMG00000159634,TRH,thyrotropin-releasing hormone
7226,ENSG00000142185,7226,OTTHUMG00000040840,TRPM2,"transient receptor potential cation channel, subfamily M, member 2"
7274,ENSG00000137561,7274,OTTHUMG00000164367,TTPA,tocopherol (alpha) transfer protein
7275,ENSG00000166402,7275,OTTHUMG00000165690,TUB,tubby homolog (mouse)
7291,ENSG00000122691,7291,OTTHUMG00000090821,TWIST1,twist homolog 1 (Drosophila)
7389,ENSG00000126088,7389,OTTHUMG00000008949,UROD,uroporphyrinogen decarboxylase
7421,ENSG00000111424,7421,OTTHUMG00000169890,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor"
7425,ENSG00000128564,7425,OTTHUMG00000157109,VGF,VGF nerve growth factor inducible
7448,ENSG00000255604,7448,OTTHUMG00000132500,VTN,vitronectin
7471,ENSG00000125084,7471,OTTHUMG00000170403,WNT1,"wingless-type MMTV integration site family, member 1"
7472,ENSG00000105989,7472,OTTHUMG00000023428,WNT2,wingless-type MMTV integration site family member 2
7475,ENSG00000115596,7475,OTTHUMG00000133082,WNT6,"wingless-type MMTV integration site family, member 6"
7476,ENSG00000154764,7476,OTTHUMG00000129803,WNT7A,"wingless-type MMTV integration site family, member 7A"
7477,ENSG00000188064,7477,OTTHUMG00000154636,WNT7B,"wingless-type MMTV integration site family, member 7B"
7480,ENSG00000169884,7480,OTTHUMG00000150734,WNT10B,"wingless-type MMTV integration site family, member 10B"
7481,ENSG00000085741,7481,OTTHUMG00000165264,WNT11,"wingless-type MMTV integration site family, member 11"
7490,ENSG00000184937,7490,OTTHUMG00000039556,WT1,Wilms tumor 1
7539,ENSG00000136866,7539,OTTHUMG00000021019,ZFP37,zinc finger protein 37 homolog (mouse)
7545,ENSG00000152977,7545,OTTHUMG00000159456,ZIC1,Zic family member 1
7625,ENSG00000185252,7625,OTTHUMG00000150687,ZNF74,zinc finger protein 74
7704,ENSG00000109906,7704,OTTHUMG00000168243,ZBTB16,zinc finger and BTB domain containing 16
7772,ENSG00000167383,7772,OTTHUMG00000182377,ZNF229,zinc finger protein 229
7780,ENSG00000158014,7780,OTTHUMG00000007508,SLC30A2,"solute carrier family 30 (zinc transporter), member 2"
7791,ENSG00000159840,7791,OTTHUMG00000023822,ZYX,zyxin
7827,ENSG00000116218,7827,OTTHUMG00000035252,NPHS2,"nephrosis 2, idiopathic, steroid-resistant (podocin)"
7837,ENSG00000130508,7837,OTTHUMG00000059697,PXDN,peroxidasin homolog (Drosophila)
7849,ENSG00000125618,7849,OTTHUMG00000128529,PAX8,paired box 8
8013,ENSG00000119508,8013,OTTHUMG00000021030,NR4A3,"nuclear receptor subfamily 4, group A, member 3"
8022,ENSG00000107187,8022,OTTHUMG00000020924,LHX3,LIM homeobox 3
8045,ENSG00000099849,8045,OTTHUMG00000132004,RASSF7,Ras association (RalGDS/AF-6) domain family (N-terminal) member 7
8082,ENSG00000123096,8082,OTTHUMG00000169167,SSPN,sarcospan
8092,ENSG00000180318,8092,OTTHUMG00000169820,ALX1,ALX homeobox 1
8110,ENSG00000205683,8110,OTTHUMG00000171364,DPF3,"D4, zinc and double PHD fingers, family 3"
8227,ENSG00000197976,8227,OTTHUMG00000021063,AKAP17A,A kinase (PRKA) anchor protein 17A
8320,ENSG00000163508,8320,OTTHUMG00000130570,EOMES,eomesodermin
8321,ENSG00000157240,8321,OTTHUMG00000023046,FZD1,frizzled family receptor 1
8395,ENSG00000107242,8395,OTTHUMG00000019976,PIP5K1B,"phosphatidylinositol-4-phosphate 5-kinase, type I, beta"
8403,ENSG00000168875,8403,OTTHUMG00000159757,SOX14,SRY (sex determining region Y)-box 14
8447,ENSG00000262359,8447,OTTHUMG00000154415,DOC2B,Double C2-like domain-containing protein beta
8516,ENSG00000077943,8516,OTTHUMG00000017733,ITGA8,"integrin, alpha 8"
8535,ENSG00000141582,8535,OTTHUMG00000150415,CBX4,chromobox homolog 4
8538,ENSG00000043039,8538,OTTHUMG00000165776,BARX2,BARX homeobox 2
8549,ENSG00000139292,8549,OTTHUMG00000169543,LGR5,leucine-rich repeat containing G protein-coupled receptor 5
8568,ENSG00000160214,8568,OTTHUMG00000086884,RRP1,ribosomal RNA processing 1 homolog (S. cerevisiae)
8633,ENSG00000182168,8633,OTTHUMG00000130989,UNC5C,unc-5 homolog C (C. elegans)
8636,ENSG00000176101,8636,OTTHUMG00000020982,SSNA1,Sjogren syndrome nuclear autoantigen 1
8714,ENSG00000108846,8714,OTTHUMG00000162245,ABCC3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
8717,ENSG00000102871,8717,OTTHUMG00000137519,TRADD,TNFRSF1A-associated via death domain
8739,ENSG00000135116,8739,OTTHUMG00000169328,HRK,"harakiri, BCL2 interacting protein (contains only BH3 domain)"
8740,ENSG00000125735,8740,OTTHUMG00000181835,TNFSF14,"tumor necrosis factor (ligand) superfamily, member 14"
8786,ENSG00000076344,8786,OTTHUMG00000064893,RGS11,regulator of G-protein signaling 11
8811,ENSG00000182687,8811,OTTHUMG00000167479,GALR2,galanin receptor 2
8821,ENSG00000109452,8821,OTTHUMG00000161341,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa"
8822,ENSG00000158815,8822,OTTHUMG00000097051,FGF17,fibroblast growth factor 17
8874,ENSG00000102606,8874,OTTHUMG00000017357,ARHGEF7,Rho guanine nucleotide exchange factor (GEF) 7
8900,ENSG00000133101,8900,OTTHUMG00000016733,CCNA1,cyclin A1
8913,ENSG00000006283,8913,OTTHUMG00000162180,CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit"
8929,ENSG00000109132,8929,OTTHUMG00000099379,PHOX2B,paired-like homeobox 2b
8938,ENSG00000007516,8938,OTTHUMG00000047833,BAIAP3,BAI1-associated protein 3
8941,ENSG00000171450,8941,OTTHUMG00000133083,CDK5R2,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
8996,ENSG00000140939,8996,OTTHUMG00000173316,NOL3,nucleolar protein 3 (apoptosis repressor with CARD domain)
9001,ENSG00000173805,9001,OTTHUMG00000133498,HAP1,huntingtin-associated protein 1
9021,ENSG00000184557,9021,OTTHUMG00000177513,SOCS3,suppressor of cytokine signaling 3
